repo,commit,commit_url,author_date,author,subject,hit_aspects,files_changed,insertions,deletions,branch
denoland/deno,b1f776adef6f0d0caa0b2badf9fb707cf5efa6e7,https://github.com/denoland/deno/commit/b1f776adef6f0d0caa0b2badf9fb707cf5efa6e7,2024-06-02,David Sherret,refactor: extract structs for downloading tarballs and npm registry packuments (#24067),,13,720,387,origin/main
denoland/deno,16ed81f62cac68f1ef0cfa925fffbf2d208eed61,https://github.com/denoland/deno/commit/16ed81f62cac68f1ef0cfa925fffbf2d208eed61,2024-05-25,Divy Srivastava,chore(cli): remove extract_standalone path from CLI (#23982),,2,10,24,origin/main
denoland/deno,f16b4d4df8bd03f2d0c5e5d6855e334fa768e828,https://github.com/denoland/deno/commit/f16b4d4df8bd03f2d0c5e5d6855e334fa768e828,2024-05-14,David Sherret,fix(npm): make tarball extraction more reliable (#23759),,4,153,29,origin/main
denoland/deno,9425dce6dbc3a10bbde963d7a6192884c47185a5,https://github.com/denoland/deno/commit/9425dce6dbc3a10bbde963d7a6192884c47185a5,2024-04-19,Matt Mastracci,refactor(ext/http): extract 02_websocket.ts from 01_http.js (#23460),,4,191,166,origin/main
denoland/deno,6a09a16d710b2d7a9d39478e5bcbabb40919d657,https://github.com/denoland/deno/commit/6a09a16d710b2d7a9d39478e5bcbabb40919d657,2024-04-18,Bartek Iwańczuk,feat(ext/net): extract TLS key and certificate from interfaces (#23327),,7,274,124,origin/main
denoland/deno,5758470ee47063d4a0b65fcba1441dfb8a8ace54,https://github.com/denoland/deno/commit/5758470ee47063d4a0b65fcba1441dfb8a8ace54,2024-04-11,Bartek Iwańczuk,"Revert ""refactor(ext/net): extract TLS key and certificate from inter… (#23325)",,6,116,241,origin/main
denoland/deno,e190acbfa8b41f92291e73c405735ba0d7b5b172,https://github.com/denoland/deno/commit/e190acbfa8b41f92291e73c405735ba0d7b5b172,2024-04-09,Matt Mastracci,refactor(ext/net): extract TLS key and certificate from interfaces (#23296),,6,241,116,origin/main
denoland/deno,86cdf3703399367836c89accba3756437d820bb0,https://github.com/denoland/deno/commit/86cdf3703399367836c89accba3756437d820bb0,2024-03-22,Matt Mastracci,perf(cli): use args_os (#23039),,5,13,9,origin/main
denoland/deno,5a716d1d06f73800b280259204789260774d465d,https://github.com/denoland/deno/commit/5a716d1d06f73800b280259204789260774d465d,2024-03-21,Nayeem Rahman,refactor(lsp): factor out workspace walk from resolver update (#22937),,5,486,864,origin/main
denoland/deno,3fd4b882a4bd0087ebf112615aafc314bb71e594,https://github.com/denoland/deno/commit/3fd4b882a4bd0087ebf112615aafc314bb71e594,2024-03-05,Matt Mastracci,perf(cli): faster standalone executable determination (#22717),,3,54,41,origin/main
denoland/deno,83d72e5c1c0b983f4b63f3f64f9a1de7600985f4,https://github.com/denoland/deno/commit/83d72e5c1c0b983f4b63f3f64f9a1de7600985f4,2024-02-07,David Sherret,refactor: extract out `runtime::colors` to `deno_terminal::colors` (#22324),,25,40,258,origin/main
denoland/deno,aecad7f3531c76306274d86afb458fcbc08edca2,https://github.com/denoland/deno/commit/aecad7f3531c76306274d86afb458fcbc08edca2,2024-02-05,Matt Mastracci,refactor(cli): Add TestFailureDescription (#22267),,5,38,13,origin/main
denoland/deno,a44a5de43013becb91e4725e508051e62f628467,https://github.com/denoland/deno/commit/a44a5de43013becb91e4725e508051e62f628467,2023-12-18,Bartek Iwańczuk,refactor: factor out cdp::ExceptionThrown notification (#21623),,4,40,30,origin/main
denoland/deno,4a9f42950140b36b1916ab0e0320d721223b1095,https://github.com/denoland/deno/commit/4a9f42950140b36b1916ab0e0320d721223b1095,2023-12-05,Matt Mastracci,refactor(cli): refactor bench/test for future module changes (#21460),,8,142,19,origin/main
denoland/deno,35fad4d2bc022b7053b5390ec1fb47ca28f4086e,https://github.com/denoland/deno/commit/35fad4d2bc022b7053b5390ec1fb47ca28f4086e,2023-09-27,David Sherret,fix(upgrade): use tar.exe to extract on Windows (#20711),,1,7,22,origin/main
denoland/deno,9d6584c16f8c759f321ab82a3b9d03d0e2e1d363,https://github.com/denoland/deno/commit/9d6584c16f8c759f321ab82a3b9d03d0e2e1d363,2023-09-07,Aapo Alasuutari,perf(ext/node): Optimise Buffer string operations (#20158),,3,77,46,origin/main
denoland/deno,bd034e360d036d9634d8526a6eea73979b3ad9e1,https://github.com/denoland/deno/commit/bd034e360d036d9634d8526a6eea73979b3ad9e1,2023-08-28,Nayeem Rahman,refactor(runtime): factor out code between build.rs and worker.rs (#20299),,7,123,197,origin/main
denoland/deno,af125c8e700eacc7360b3d81ffe4de13e12a612a,https://github.com/denoland/deno/commit/af125c8e700eacc7360b3d81ffe4de13e12a612a,2023-08-21,Aapo Alasuutari,feat(unstable): Improve FFI types (#20215),,2,215,80,origin/main
denoland/deno,23ff0e722e3c4b0827940853c53c5ee2ede5ec9f,https://github.com/denoland/deno/commit/23ff0e722e3c4b0827940853c53c5ee2ede5ec9f,2023-08-17,Matt Mastracci,feat(ext/web): resourceForReadableStream (#20180),,13,743,250,origin/main
denoland/deno,85a2b281f566d3404d23852ae29d4a75d020dd5e,https://github.com/denoland/deno/commit/85a2b281f566d3404d23852ae29d4a75d020dd5e,2023-08-05,Matt Mastracci,chore: use zlib-ng for flate2 (#20059),,4,30,6,origin/main
denoland/deno,e746b6d80654ba4e4e26370fe6e4f784ce841d92,https://github.com/denoland/deno/commit/e746b6d80654ba4e4e26370fe6e4f784ce841d92,2023-07-01,Matt Mastracci,refactor(core): Extract deno_core (#19658),,223,17,36602,origin/main
denoland/deno,8e84dc0139055db8c84ad28723114d343982a8f7,https://github.com/denoland/deno/commit/8e84dc0139055db8c84ad28723114d343982a8f7,2023-05-31,Matt Mastracci,chore(core): Split JsRuntimeForSnapshot from JsRuntime (#19308),,13,696,431,origin/main
denoland/deno,27303ef688ae56008aafab513d84e39096a51e34,https://github.com/denoland/deno/commit/27303ef688ae56008aafab513d84e39096a51e34,2023-05-16,Luca Casonato,refactor(ext/http): simpler ws server in http_next (#19133),,5,12,67,origin/main
denoland/deno,29aa988476ee968ea00f9c026ae276d72c316476,https://github.com/denoland/deno/commit/29aa988476ee968ea00f9c026ae276d72c316476,2023-05-10,Matt Mastracci,refactor(core): http_next generic over request extractor (#19071),,7,57,48,origin/main
denoland/deno,041d1e093bcac9a834afa1a2a036d07aef0ad1b2,https://github.com/denoland/deno/commit/041d1e093bcac9a834afa1a2a036d07aef0ad1b2,2023-04-25,David Sherret,refactor(cli): extract out NpmModuleLoader from CliModuleLoader (#18842),,2,178,97,origin/main
denoland/deno,dd1e6500639c25d73ff63dd8fde6ba093b2b4255,https://github.com/denoland/deno/commit/dd1e6500639c25d73ff63dd8fde6ba093b2b4255,2023-03-19,Kamil Ogórek,fix(runtime): Extract error code for all OS error variants (#17958),,2,31,5,origin/main
denoland/deno,de0d148d933520e7ee519576c83e4ca282ee9021,https://github.com/denoland/deno/commit/de0d148d933520e7ee519576c83e4ca282ee9021,2023-03-05,Bartek Iwańczuk,"refactor(runtime): merge ""spawn"" into ""process"" (#18022)",,9,793,828,origin/main
denoland/deno,7afa3aceb04e6b2c8820b7326d6f648db6b571c6,https://github.com/denoland/deno/commit/7afa3aceb04e6b2c8820b7326d6f648db6b571c6,2023-03-04,Bartek Iwańczuk,refactor(runtime): factor out deno_io extension crate (#18001),,24,108,65,origin/main
denoland/deno,19bb23b60a102ff5b0c06e302487a964edd68db1,https://github.com/denoland/deno/commit/19bb23b60a102ff5b0c06e302487a964edd68db1,2023-03-04,Bartek Iwańczuk,refactor(runtime): factor out FsPermissions for fs ops (#18012),,4,353,190,origin/main
denoland/deno,46817a0e3dc98197cd3e7af0b33efa3533f44ea0,https://github.com/denoland/deno/commit/46817a0e3dc98197cd3e7af0b33efa3533f44ea0,2023-02-10,Bartek Iwańczuk,"refactor: clean up ""cli/node/mod.rs"" and ""ext/node"" (#17713)",,6,900,872,origin/main
denoland/deno,600fff79cdf5d52154344a0e3a8a523e1e21c3c1,https://github.com/denoland/deno/commit/600fff79cdf5d52154344a0e3a8a523e1e21c3c1,2023-01-31,David Sherret,refactor(semver): generalize semver related structs (#17605),,14,734,743,origin/main
denoland/deno,7b212bc5741ea0cfb6bd87c280be0c864cb32813,https://github.com/denoland/deno/commit/7b212bc5741ea0cfb6bd87c280be0c864cb32813,2022-12-18,Bartek Iwańczuk,"refactor(permissions): factor out PermissionPrompter trait, add callbacks (#16975)",,2,419,297,origin/main
denoland/deno,6541a0a9fd818424688003c617e4a84c3cf7d34d,https://github.com/denoland/deno/commit/6541a0a9fd818424688003c617e4a84c3cf7d34d,2022-12-09,David Sherret,refactor: cleanup main.rs (#16996),,10,664,760,origin/main
denoland/deno,387300aed0133e369af090d3795a1fce89603737,https://github.com/denoland/deno/commit/387300aed0133e369af090d3795a1fce89603737,2022-09-02,David Sherret,refactor: extract out check code from emit (#15729),,6,415,403,origin/main
denoland/deno,54be07d05e4c763dfa1b612decc58fa234aa9c88,https://github.com/denoland/deno/commit/54be07d05e4c763dfa1b612decc58fa234aa9c88,2022-08-30,Bartek Iwańczuk,fix(npm): skip extracting pax_global_header from tarballs (#15677),,20,26,,origin/main
denoland/deno,181e378032757938be88d8a02d6f87be191b47e2,https://github.com/denoland/deno/commit/181e378032757938be88d8a02d6f87be191b47e2,2022-04-07,EduM22,fix(ext/crypto): check extractable in exportKey (#14222),,2,39,4,origin/main
denoland/deno,593801e265e7609ac0bd695fcb450e479d5db776,https://github.com/denoland/deno/commit/593801e265e7609ac0bd695fcb450e479d5db776,2022-03-20,Andreu Botella,"cleanup(web, fetch): dedupe minesniff / ""extract a MIME type"" algorithm (#14044)",,4,55,71,origin/main
denoland/deno,4799aaac15285833341d1e0471a2559bd325982f,https://github.com/denoland/deno/commit/4799aaac15285833341d1e0471a2559bd325982f,2022-02-07,Leo Kettmeir,refactor: factor out CDP message types (#13551),,10,599,111,origin/main
denoland/deno,382a978859a7a7a4351542be818bb2e59523429c,https://github.com/denoland/deno/commit/382a978859a7a7a4351542be818bb2e59523429c,2022-01-27,Leo Kettmeir,refactor: factor out CDP message types (#13501),,8,642,109,origin/main
denoland/deno,ae0414fa3581d76af44192567d73dce987c69b9d,https://github.com/denoland/deno/commit/ae0414fa3581d76af44192567d73dce987c69b9d,2022-01-24,Rafael Ávila de Espíndola,refactor(core): Extract JsRuntime::poll_value out of JsRuntime::resolve_value (#13461),,1,82,32,origin/main
denoland/deno,3db18bf9e6466c74efd9052df4d372ea0b581154,https://github.com/denoland/deno/commit/3db18bf9e6466c74efd9052df4d372ea0b581154,2021-12-18,Bartek Iwańczuk,refactor(repl): factor out ReplEditor and ReplSession (#13131),,3,752,734,origin/main
denoland/deno,7e38ae17ea5dba600d0bf7bb6f6fafe7cd25befd,https://github.com/denoland/deno/commit/7e38ae17ea5dba600d0bf7bb6f6fafe7cd25befd,2021-10-07,Aaron O'Mullan,perf(fetch): fast path Uint8Array in extractBody() (#12351),,1,4,,origin/main
denoland/deno,44ca3ce6aeb99cb968776f5f13420e76acbc8117,https://github.com/denoland/deno/commit/44ca3ce6aeb99cb968776f5f13420e76acbc8117,2021-09-04,Bartek Iwańczuk,refactor: factor out DenoSubcommand enum variant into structs (#11896),,3,520,519,origin/main
denoland/deno,eea6f578fc0fe9488c9fbd6c2bcbf665fff92424,https://github.com/denoland/deno/commit/eea6f578fc0fe9488c9fbd6c2bcbf665fff92424,2021-08-16,Divy Srivastava,fix(ext/crypto): enable non-extractable keys (#11705),,2,238,203,origin/main
denoland/deno,8fa46a7b4444cfbdaefe0bd0aa882601f338cef9,https://github.com/denoland/deno/commit/8fa46a7b4444cfbdaefe0bd0aa882601f338cef9,2021-08-14,Aaron O'Mullan,cleanup(ext/http): simplify op_http_request_next (#11691),,1,145,128,origin/main
denoland/deno,71f79097c69958ba94e8600430394bbb21fa90f3,https://github.com/denoland/deno/commit/71f79097c69958ba94e8600430394bbb21fa90f3,2021-08-14,Divy Srivastava,fix(ext/crypto): importKey() SecurityError on non-extractable keys (#11662),,3,74,201,origin/main
denoland/deno,67690b78bda16b90c0b9b79e369eb67eb3a9822a,https://github.com/denoland/deno/commit/67690b78bda16b90c0b9b79e369eb67eb3a9822a,2021-06-09,David Sherret,refactor(repl): Extract out structs for internal REPL code (#10915),,1,268,223,origin/main
denoland/deno,af1546391c4a561eb26ccf9cd244b05aed9b5bfc,https://github.com/denoland/deno/commit/af1546391c4a561eb26ccf9cd244b05aed9b5bfc,2021-05-22,Ben Noordhuis,feat(extensions): BroadcastChannel WPT conformance,,18,345,113,origin/main
denoland/deno,a19fea918f12249d2c248eb013b3b8baf2eacb84,https://github.com/denoland/deno/commit/a19fea918f12249d2c248eb013b3b8baf2eacb84,2020-12-14,Bartek Iwańczuk,"Revert ""build: Factor out common code into core/build_util.rs (#8756)"" (#8763)",,4,100,60,origin/main
denoland/deno,502c77aad969fe8557aaf6d56432f94450c26a2a,https://github.com/denoland/deno/commit/502c77aad969fe8557aaf6d56432f94450c26a2a,2020-12-14,Ryan Dahl,build: Factor out common code into core/build_util.rs (#8756),,4,60,100,origin/main
denoland/deno,65e72b68acf57da8462b8e7b057e7adb9393b698,https://github.com/denoland/deno/commit/65e72b68acf57da8462b8e7b057e7adb9393b698,2020-12-11,Bartek Iwańczuk,refactor(cli): decouple ops from ProgramState and Flags (#8659),,19,464,280,origin/main
denoland/deno,e2a1a7c937b67d050e7e3287d7e5dbc6ffd9b168,https://github.com/denoland/deno/commit/e2a1a7c937b67d050e7e3287d7e5dbc6ffd9b168,2020-10-14,Casper Beyer,refactor(cli/repl): clean up prelude injection (#7967),,1,51,41,origin/main
denoland/deno,2184cf5c07b2b78ebf586b032f45ce113670262d,https://github.com/denoland/deno/commit/2184cf5c07b2b78ebf586b032f45ce113670262d,2020-09-30,Casper Beyer,refactor(cli): extract inspector session (#7756),,2,126,116,origin/main
denoland/deno,e1beebc71a53d5ad9203a71f8f2764efaac2f649,https://github.com/denoland/deno/commit/e1beebc71a53d5ad9203a71f8f2764efaac2f649,2020-09-26,Bartek Iwańczuk,refactor: factor out check_unstable op helper (#7695),,11,51,74,origin/main
denoland/deno,111a2fbe3e6b386c2e39d394f95f989a6c1f48a0,https://github.com/denoland/deno/commit/111a2fbe3e6b386c2e39d394f95f989a6c1f48a0,2020-08-25,Yoshiya Hinosawa,refactor(cli/build.rs): extract ts version (#7127),,2,11,4,origin/main
denoland/deno,826a3135b41bdaeb8c8cd27a4652563971b04baa,https://github.com/denoland/deno/commit/826a3135b41bdaeb8c8cd27a4652563971b04baa,2020-06-19,Bartek Iwańczuk,refactor(compiler): split code paths for compile and bundle (#6304),,13,1062,1002,origin/main
denoland/deno,1b6181e434422d3fe5aa49f59f1e7adc4ec4ce8f,https://github.com/denoland/deno/commit/1b6181e434422d3fe5aa49f59f1e7adc4ec4ce8f,2020-04-28,Bartek Iwańczuk,"refactor: factor out datagram from Deno.listen(), make it unstable (#4968)",,5,68,37,origin/main
denoland/deno,1f52d180c08b5fc060ecf9d24e4d7f31377479b7,https://github.com/denoland/deno/commit/1f52d180c08b5fc060ecf9d24e4d7f31377479b7,2020-04-27,Bartek Iwańczuk,refactor: factor out AstParser from DocParser (#4923),,7,204,153,origin/main
denoland/deno,2d1b39bef339edb19ae6be5fb2099e685cee93bb,https://github.com/denoland/deno/commit/2d1b39bef339edb19ae6be5fb2099e685cee93bb,2020-03-11,Bartek Iwańczuk,"reorg: remove dispatch.ts, move signals, factor out web utils (#4316)",,20,188,199,origin/main
denoland/deno,7966bf14c062a05b1606a62c996890571454ecc8,https://github.com/denoland/deno/commit/7966bf14c062a05b1606a62c996890571454ecc8,2020-01-21,Bartek Iwańczuk,refactor: split worker and worker host logic (#3722),,21,441,265,origin/main
denoland/deno,ad9fd589d4131e847721323a730ba91161f1b95b,https://github.com/denoland/deno/commit/ad9fd589d4131e847721323a730ba91161f1b95b,2020-01-07,Bartek Iwańczuk,core: factor out EsIsolate from Isolate (#3613),,8,1139,1002,origin/main
denoland/deno,2f90225c89926932a34eb40758e2af0d1742e1f8,https://github.com/denoland/deno/commit/2f90225c89926932a34eb40758e2af0d1742e1f8,2019-10-02,Nayeem Rahman,Implement expandGlob() and expandGlobSync() (denoland/deno_std#617),,11,557,272,origin/main
denoland/deno,c9ef182886cc07d35a5b27fb89163d8cf21a6a47,https://github.com/denoland/deno/commit/c9ef182886cc07d35a5b27fb89163d8cf21a6a47,2019-09-15,Ryan Dahl,Make deno_cli installable via crates.io (#2946),,29,163,106,origin/main
denoland/deno,421cbd39b4f0fdbdfc2eeed6da8dd3410246a044,https://github.com/denoland/deno/commit/421cbd39b4f0fdbdfc2eeed6da8dd3410246a044,2019-07-31,Bartek Iwańczuk,factor out FileFetcher to separate module (#2683),,7,1499,1496,origin/main
denoland/deno,942df0be0d8bb37862195c438017df7746b0f3f0,https://github.com/denoland/deno/commit/942df0be0d8bb37862195c438017df7746b0f3f0,2019-03-18,Axetroy,extract internal method isSubdir to fs/utils.ts (denoland/deno_std#285),,4,58,11,origin/main
denoland/deno,f917c5e722d7ee5abd58704eb0e5d49072249e94,https://github.com/denoland/deno/commit/f917c5e722d7ee5abd58704eb0e5d49072249e94,2018-07-08,Ryan Dahl,Clean up tools/,,14,123,150,origin/main
